ID	Name	Age	Marks	Grade
1	Vihaan Gupta	30	83	D
2	Krishna Gupta	23	79	D
3	Ishaan Gupta	25	55	D
4	Vihaan Singh	28	74	B
5	Aditya Sharma	27	74	A
6	Arjun Reddy	23	75	C
7	Aarav Mehta	29	71	C
8	Vivaan Sharma	29	96	B
9	Vivaan Patel	23	71	C
10	Vivaan Patel	28	69	B
11	Krishna Sharma	27	58	C
12	Ananya Mehta	30	100	C
13	Vivaan Sharma	20	89	C
14	Aditya Jadhav	24	56	D
15	Vivaan Gupta	24	56	A
16	Sai Jadhav	30	89	B
17	Ishaan Singh	30	82	D
18	Arjun Desai	29	84	B
19	Aarav Mehta	24	54	B
20	Aarav Reddy	28	68	E
21	Ishaan Reddy	18	91	C
22	Krishna Sharma	30	83	C
23	Sai Reddy	18	73	D
24	Sai Verma	22	88	D
25	Ishaan Verma	26	60	D
26	Aarav Sharma	18	99	A
27	Reyansh Jadhav	29	65	E
28	Vivaan Mehta	18	54	D
29	Aarav Jadhav	26	73	C
30	Reyansh Mehta	20	95	C
31	Vivaan Reddy	19	78	E
32	Vihaan Jadhav	28	82	D
33	Arjun Patel	27	81	A
34	Aditya Desai	28	100	D
35	Aarav Reddy	25	74	D
36	Vivaan Kumar	21	71	C
37	Reyansh Gupta	21	62	D
38	Ishaan Desai	25	72	A
39	Sai Patel	21	59	B
40	Arjun Gupta	29	74	C
41	Reyansh Kumar	28	71	E
42	Krishna Gupta	23	69	E
43	Vivaan Sharma	30	76	D
44	Vihaan Reddy	28	53	C
45	Ishaan Sharma	22	93	A
46	Arjun Mehta	19	55	A
47	Ananya Jadhav	27	90	E
48	Krishna Desai	22	63	D
49	Aditya Desai	22	78	A
50	Krishna Verma	21	84	A
51	Ishaan Jadhav	30	74	E
52	Krishna Singh	21	83	A
53	Aarav Verma	24	75	D
54	Arjun Verma	28	94	D
55	Arjun Sharma	21	99	B
56	Arjun Jadhav	19	77	B
57	Aditya Kumar	25	53	B
58	Aditya Gupta	28	55	C
59	Sai Gupta	18	52	C
60	Aarav Kumar	19	59	B
61	Reyansh Desai	21	71	D
62	Ishaan Sharma	25	66	B
63	Ananya Mehta	30	57	D
64	Aditya Reddy	23	86	A
65	Sai Verma	21	71	D
66	Vihaan Jadhav	19	53	A
67	Reyansh Reddy	26	68	D
68	Krishna Mehta	27	100	E
69	Krishna Sharma	20	67	B
70	Ishaan Kumar	29	68	E
71	Krishna Mehta	22	80	E
72	Vivaan Verma	18	91	E
73	Arjun Jadhav	22	51	D
74	Sai Patel	24	57	D
75	Ishaan Jadhav	18	91	A
76	Ananya Verma	29	72	C
77	Krishna Desai	27	95	E
78	Krishna Singh	24	87	C
79	Arjun Gupta	28	60	B
80	Ananya Reddy	26	92	A
81	Krishna Desai	25	72	E
82	Aditya Verma	27	96	C
83	Vihaan Sharma	21	77	D
